name,geometry,lat,lon
Chinese Restaurant,POINT (73.0100219 33.6815494),33.6815494,73.0100219
Foody Moody,POINT (73.0323677 33.687253),33.687253,73.0323677
Abdul Shakoor Afghani Burger,POINT (73.0383822 33.6926222),33.6926222,73.0383822
Okara Dairy,POINT (73.0429663 33.6862891),33.6862891,73.0429663
Original Afghani Burger,POINT (73.0427001 33.6862931),33.6862931,73.0427001
Delight Afghani Burger,POINT (73.0424938 33.6863858),33.6863858,73.0424938
Lahore,POINT (73.0442858 33.685858),33.685858,73.0442858
Khyber Shinwari,POINT (73.043996 33.6852419),33.6852419,73.043996
Sufi,POINT (73.0448128 33.6856972),33.6856972,73.0448128
Karachi Student Biryani,POINT (73.04252 33.6849182),33.6849182,73.04252
Bhallu Burger,POINT (73.0454083 33.6859752),33.6859752,73.0454083
Purana Khyber Shinwari Restaurant,POINT (73.0419916 33.684737),33.684737,73.0419916
Shani Chips,POINT (73.0297317 33.6922174),33.6922174,73.0297317
Careem Dhaba,POINT (73.023841 33.6900081),33.6900081,73.023841
Rab Nawaz Khoka,POINT (73.013204 33.682039),33.682039,73.013204
Shinwari,POINT (73.0144669 33.6701546),33.6701546,73.0144669
Karachi Naseeb Biryani Catering Centre,POINT (73.0168759 33.6710264),33.6710264,73.0168759
Zahid’s Barbecue Fish & Chicken,POINT (73.0139459 33.6753692),33.6753692,73.0139459
Darraywal Afridi,POINT (73.015383 33.675137),33.675137,73.015383
New Madina,POINT (73.0147558 33.675732),33.675732,73.0147558
Nasir’s Dhabba,POINT (72.9997077 33.6770264),33.6770264,72.9997077
Dera Khyber,POINT (72.9991606 33.6684058),33.6684058,72.9991606
Amigos Cuisine,POINT (72.9995464 33.668427),33.668427,72.9995464
Foodball,POINT (72.9879082 33.6833895),33.6833895,72.9879082
Sliders,POINT (73.0154946 33.6932767),33.6932767,73.0154946
Burgers etc.,POINT (73.0572707 33.7205459),33.7205459,73.0572707
Chinese Resturent,POINT (73.0312273 33.6533077),33.6533077,73.0312273
Ha Pi Restaurant,POINT (72.9865641 33.6839944),33.6839944,72.9865641
Shinwari Hotel,POINT (72.939194 33.6297413),33.6297413,72.939194
Asian Pulao,POINT (73.154559 33.5991),33.5991,73.154559
Gulshan Roll In And Fried Chicken,POINT (73.0760074 33.6689582),33.6689582,73.0760074
"China Town, Jade Cafe",POINT (73.0754426 33.6684365),33.6684365,73.0754426
Healthy Refreshment Center,POINT (73.0759547 33.6687346),33.6687346,73.0759547
OPTP i-8,POINT (73.0754593 33.6684921),33.6684921,73.0754593
The Pizza Guys,POINT (73.0763698 33.7296326),33.7296326,73.0763698
Chiki Panda,POINT (73.1457992 33.5716143),33.5716143,73.1457992
Ark Builders,POINT (73.0516439 33.6965389),33.6965389,73.0516439
Butt Kerhai  Tikka F-8 Markaz,POINT (73.0393894 33.7108709),33.7108709,73.0393894
Five Diner,POINT (73.0593075 33.7229203),33.7229203,73.0593075
wild wings,POINT (73.1663261 33.5299923),33.5299923,73.1663261
Pizza Hut,POINT (73.1657199 33.5296972),33.5296972,73.1657199
Costa Rica,POINT (73.1658755 33.530122),33.530122,73.1658755
Fredrigo's Pizza,POINT (73.0589141 33.7211881),33.7211881,73.0589141
Al-Madina Restaurant,POINT (72.9699514 33.6243846),33.6243846,72.9699514
MashAllah Restaurant,POINT (72.9705693 33.6231959),33.6231959,72.9705693
Colorado Kitchen,POINT (72.9737272 33.7001939),33.7001939,72.9737272
Pappasallis Pizza,POINT (72.9676382 33.6479618),33.6479618,72.9676382
Monal restaurant,POINT (73.0657831 33.76013),33.76013,73.0657831
Tahir Khan Restoran (TKR),POINT (73.0758928 33.6952113),33.6952113,73.0758928
Tuscany Courtyard,POINT (73.078235 33.7355212),33.7355212,73.078235
Chop Chop Wok,POINT (73.079258 33.7306203),33.7306203,73.079258
Planc,POINT (73.0588734 33.72178),33.72178,73.0588734
Kim Mug,POINT (73.0587079 33.7212312),33.7212312,73.0587079
CCC Club Grill Central,POINT (73.0579042 33.7261224),33.7261224,73.0579042
Quetta Restaurant,POINT (73.1599894 33.6261791),33.6261791,73.1599894
Khayber Naan Center,POINT (73.1599343 33.6261804),33.6261804,73.1599343
Quetta SK Hotel,POINT (73.1172644 33.6294502),33.6294502,73.1172644
Al Jawad International Hotel & Restaurant,POINT (73.1173684 33.6294727),33.6294727,73.1173684
Baoo jee Murgh Pulao,POINT (73.1175387 33.629499),33.629499,73.1175387
Zia Balti & BBQ,POINT (73.0648387 33.6990715),33.6990715,73.0648387
Haleem Ghar,POINT (73.0577235 33.7102435),33.7102435,73.0577235
The Smokey Cauldron,POINT (73.0770447 33.7296699),33.7296699,73.0770447
Restaurant bbq 30 rupee 2023,POINT (72.9411161 33.630145),33.630145,72.9411161
Smokey cheese,POINT (73.0587904 33.7234527),33.7234527,73.0587904
"TKR Restaurant, Taramri",POINT (73.1576357 33.6416835),33.6416835,73.1576357
Baoo Jee Murgh Pulao & Restaurant Tarlai,POINT (73.1543144 33.6391176),33.6391176,73.1543144
Afghan Tikka & Plau House,POINT (73.0556256 33.6563341),33.6563341,73.0556256
LIT,POINT (73.1660938 33.5295998),33.5295998,73.1660938
Quetta Ketli,POINT (73.1574368 33.5309196),33.5309196,73.1574368
Terrace BBQ,POINT (73.1649482 33.5329201),33.5329201,73.1649482
Khoka Khola,POINT (73.1596027 33.5311259),33.5311259,73.1596027
Nazir Foods,POINT (73.0438551 33.6853683),33.6853683,73.0438551
Khabbay Ki Saji,POINT (73.0767044 33.6687307),33.6687307,73.0767044
Hey! Pita,POINT (73.0769074 33.6687619),33.6687619,73.0769074
Cafe Grill,POINT (73.0765483 33.6688395),33.6688395,73.0765483
Cheezious,POINT (73.1292383 33.5655266),33.5655266,73.1292383
Embassy Lodge Hotel and Marquee,POINT (73.1540576 33.664124),33.664124,73.1540576
Aanch Restaurant,POINT (73.076954 33.7300793),33.7300793,73.076954
Quetta Tea & Tea,POINT (73.0127172 33.6947303),33.6947303,73.0127172
Punjab Milk Shop,POINT (72.9991914 33.6913354),33.6913354,72.9991914
Punjab Milk Shop,POINT (72.9987549 33.6905803),33.6905803,72.9987549
Noorani Restaurant,POINT (73.0382394 33.7110292),33.7110292,73.0382394
Butt Karahi Tikka,POINT (73.0749976 33.6694073),33.6694073,73.0749976
Cheezious I-8,POINT (73.0750649 33.6685775),33.6685775,73.0750649
Rendezvous Xpress I8,POINT (73.0747194 33.6674117),33.6674117,73.0747194
foodo,POINT (73.0005911 33.668785),33.668785,73.0005911
Jacaranda Family Club,"POLYGON ((73.1632992 33.5345196, 73.1633585 33.5345177, 73.1636386 33.534509, 73.163613 33.5339369, 73.1632736 33.5339475, 73.1632992 33.5345196))",33.53422823797703,73.16345610100475
Food Street,"POLYGON ((73.0852943 33.7177746, 73.0845414 33.7173732, 73.0847256 33.7171436, 73.0847412 33.717102, 73.0854307 33.7175457, 73.0852943 33.7177746))",33.71744349915011,73.08499031869066
The French Club 21,"POLYGON ((73.1149037 33.7231713, 73.115731 33.7236058, 73.1159973 33.7232575, 73.1151679 33.7228247, 73.1149037 33.7231713))",33.723215012986486,73.11545038764908
Cordon Rouge,"POLYGON ((73.1215956 33.7263034, 73.1216577 33.7262116, 73.1218708 33.7263112, 73.1218088 33.726403, 73.1215956 33.7263034))",33.72630729951681,73.12173321628521
Restaurant 360,"POLYGON ((73.1551419 33.6560174, 73.1554209 33.6560129, 73.1554155 33.6556557, 73.1551366 33.6556646, 73.1551397 33.6558701, 73.1551419 33.6560174))",33.655837646351706,73.15527901641637
